customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Predicted_Churn,Risk_Level,Customer_Segment,Retention_Priority,Top_SHAP_Drivers,SHAP_Values,SHAP_Directions,Final_Retention_Action
4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,No,0.0041972185,0,Low,0.0,Low,tenure | Contract Month-to-month | Contract Two year | OnlineSecurity No | Contract One year,-1.4373 | -1.1265 | -0.8457 | -0.4957 | -0.3057,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Review pricing
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,No,0.9300961,1,High,1.0,Critical,MonthlyCharges | Contract Month-to-month | TechSupport No | tenure | TotalCharges,0.8889 | 0.6018 | -0.423 | 0.369 | 0.3153,Increases churn risk | Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Promote online security; Review pricing
9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,No,0.05529517,0,Low,0.0,Low,Contract Month-to-month | StreamingMovies Yes | PaymentMethod Electronic check | OnlineSecurity No | InternetService Fiber optic,-1.1327 | -0.3397 | -0.2516 | -0.2476 | -0.1937,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer technical support
0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,No,0.17864974,0,Low,1.0,Low,TechSupport No | Contract Month-to-month | PaperlessBilling No | tenure | DeviceProtection No,-0.5141 | 0.4771 | -0.4483 | -0.4132 | -0.2248,Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Promote online security
9385-NXKDA,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,No,0.004408018,0,Low,0.0,Low,tenure | Contract Month-to-month | Contract Two year | OnlineSecurity No | MonthlyCharges,-1.5733 | -1.1498 | -0.7353 | -0.5416 | -0.3784,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer technical support; Review pricing
4686-UXDML,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,No,0.8007125,1,High,1.0,Critical,Contract Month-to-month | MonthlyCharges | PaymentMethod Electronic check | InternetService Fiber optic | TechSupport No,0.5747 | 0.5082 | -0.3414 | 0.2165 | 0.1617,Increases churn risk | Increases churn risk | Reduces churn risk | Increases churn risk | Increases churn risk,Immediate personal outreach; Offer long-term contract incentive; Promote online security; Offer technical support; Review pricing
2227-JRSJX,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,No,0.44433165,0,Medium,1.0,Medium,MonthlyCharges | Contract Month-to-month | TechSupport No | PaymentMethod Electronic check | OnlineBackup No,0.5335 | 0.4811 | -0.4741 | -0.3455 | -0.2314,Increases churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Proactive retention communication; Offer long-term contract incentive; Promote online security; Review pricing
4830-FAXFM,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,No,0.08149757,0,Low,1.0,Low,OnlineSecurity No | TechSupport No | Contract Month-to-month | MonthlyCharges | Dependents No,-0.6402 | -0.4948 | 0.3847 | -0.2908 | -0.2797,Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive
1830-IPXVJ,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,No,0.0019038084,0,Low,1.0,Low,Contract Month-to-month | Contract Two year | tenure | TotalCharges | PaymentMethod Credit card (automatic),-1.2121 | -0.7885 | -0.7701 | -0.3782 | -0.3553,Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement
4690-LLKUA,Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,Yes,0.6124552,1,Medium,1.0,Medium,Contract Month-to-month | PaymentMethod Electronic check | MultipleLines No | InternetService Fiber optic | InternetService DSL,0.5597 | 0.2377 | -0.206 | -0.1961 | -0.1788,Increases churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk | Reduces churn risk,Proactive retention communication; Offer long-term contract incentive; Promote online security; Offer technical support
5804-HYIEZ,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,No,0.17307898,0,Low,0.0,Low,tenure | OnlineSecurity No | Contract Month-to-month | Dependents No | OnlineBackup No,-0.9342 | -0.8104 | 0.4006 | -0.2884 | -0.1988,Reduces churn risk | Reduces churn risk | Increases churn risk | Reduces churn risk | Reduces churn risk,Maintain regular engagement; Offer long-term contract incentive; Offer technical support; Review pricing
