numerical__SeniorCitizen,numerical__tenure,numerical__MonthlyCharges,numerical__TotalCharges,categorical__gender_Female,categorical__gender_Male,categorical__Partner_No,categorical__Partner_Yes,categorical__Dependents_No,categorical__Dependents_Yes,categorical__PhoneService_No,categorical__PhoneService_Yes,categorical__MultipleLines_No,categorical__MultipleLines_No phone service,categorical__MultipleLines_Yes,categorical__InternetService_DSL,categorical__InternetService_Fiber optic,categorical__InternetService_No,categorical__OnlineSecurity_No,categorical__OnlineSecurity_No internet service,categorical__OnlineSecurity_Yes,categorical__OnlineBackup_No,categorical__OnlineBackup_No internet service,categorical__OnlineBackup_Yes,categorical__DeviceProtection_No,categorical__DeviceProtection_No internet service,categorical__DeviceProtection_Yes,categorical__TechSupport_No,categorical__TechSupport_No internet service,categorical__TechSupport_Yes,categorical__StreamingTV_No,categorical__StreamingTV_No internet service,categorical__StreamingTV_Yes,categorical__StreamingMovies_No,categorical__StreamingMovies_No internet service,categorical__StreamingMovies_Yes,categorical__Contract_Month-to-month,categorical__Contract_One year,categorical__Contract_Two year,categorical__PaperlessBilling_No,categorical__PaperlessBilling_Yes,categorical__PaymentMethod_Bank transfer (automatic),categorical__PaymentMethod_Credit card (automatic),categorical__PaymentMethod_Electronic check,categorical__PaymentMethod_Mailed check
-0.011512406,-1.4373255,-0.11934637,-0.009000885,-0.013712034,-0.0024648136,-0.047786027,-0.0070553096,-0.25121906,-0.08161547,-0.006000748,-0.0029546358,0.05336077,0.00038264057,0.03844042,0.035106335,0.11897936,-0.0013296115,-0.49567977,-5.8190722e-05,-0.079707764,-0.16074733,0.0,-0.011671288,-0.061047588,0.0,0.0146274995,-0.3056276,0.0,-0.06302058,0.011849605,0.0,0.06574925,-0.0069165234,0.0,0.06412667,-1.1265116,-0.30569625,-0.8457186,-0.028484233,0.0027402972,-0.10323908,-0.11314939,-0.19168498,0.008965206
0.11510001,0.36897138,0.8888802,0.3152962,0.017208798,-0.0014751013,-0.044050112,-0.0046624164,0.057398796,0.028903874,-0.003923701,-0.0018600429,0.17106655,-0.000108023574,0.082513615,0.12828161,0.24639487,-0.0021009631,0.12282568,0.00010885421,-0.009347989,0.1148429,0.0,-0.021651559,0.065979525,0.0,-0.07634109,-0.422965,0.0,-0.07411501,0.03158898,0.0,0.10548546,0.040321916,0.0,0.044272404,0.6017595,-0.023377942,0.0826584,0.026046583,0.021884266,-0.009877909,-0.13664548,-0.23763095,-0.026315015
-0.014248938,-0.16519758,-0.06304787,-0.07791757,-0.0008600196,-0.014613879,-0.013400149,0.002954313,-0.0962117,-0.020434294,-0.018656598,-0.0062135383,-0.018604126,-0.00062625366,-0.01942702,-0.103974305,-0.19372195,-0.0014701888,-0.24763066,-0.00027481897,-0.021058347,-0.06499206,0.0,0.021854745,-0.04891778,0.0,0.03843474,0.04855619,0.0,-0.010885752,-0.07227772,0.0,-0.03670411,0.0621088,0.0,-0.3396637,-1.1326766,-0.03739209,0.09331515,-0.031743586,-0.012602101,0.027617931,-0.014418064,-0.25155395,0.01156064
-0.001596084,-0.4131822,-0.001500854,-0.050881725,-0.10815741,-0.05051111,0.058198463,0.033604372,-0.020789552,-0.006680763,-0.009267995,-0.0034611253,-0.1829774,-0.0013249664,-0.10063514,0.102581635,0.159729,-0.00014658438,0.10558541,0.00011453545,-0.017706651,-0.030420622,0.0,-0.05668644,-0.22478527,0.0,-0.015912898,-0.51414716,0.0,-0.09495013,-0.048080657,0.0,-0.09935153,0.047435425,0.0,-0.048409484,0.47706908,-0.021558471,0.07031129,-0.4483014,-0.20813543,0.026994353,0.011536034,0.17970163,-0.025650641
-0.027335787,-1.5732896,-0.3783524,-0.20306428,-0.037023604,-0.01350138,-0.024625828,-0.0070123044,-4.8033413e-05,0.0070225755,-0.0270783,-0.010735617,0.094895825,-0.0006977239,0.028016085,-0.098899394,-0.21301505,-0.0014794889,-0.54156023,6.006821e-05,-0.08904839,-0.111271344,0.0,-0.008460453,-0.10331814,0.0,0.029309701,0.17225613,0.0,0.03227217,-0.014944901,0.0,0.052423414,0.01698756,0.0,0.048979215,-1.1497655,-0.2175439,-0.7353432,0.012109985,0.011550764,-0.028173693,-0.05829717,-0.2688394,0.010103816
-0.023770735,-0.049840026,0.5082367,-0.09591532,-0.023428118,-0.008783352,-0.02577832,-0.007549096,0.018209869,0.006141935,-0.011321314,-0.003070282,0.08864025,0.00018212998,0.053223267,0.121623166,0.21653198,-0.0017088008,0.13669701,9.100933e-05,-0.008534776,-0.12565792,0.0,-0.034329865,0.02974654,0.0,-0.07625125,0.16170757,0.0,0.019284576,0.011368838,0.0,0.06361199,0.031122008,0.0,0.022926632,0.57470167,-0.026814632,0.073726304,0.106937416,0.04294336,-0.012109593,-0.039122928,-0.34141442,0.011674007
-0.011654944,-0.1706943,0.53347236,0.060115468,0.033958644,0.010914991,-0.042441987,-0.0039373334,-0.014887513,-0.005859193,-0.0067021535,-0.0024076784,-0.19294465,-7.57067e-05,-0.0750112,0.10087281,0.20188645,-0.00015587665,0.046464637,0.000118554955,-0.010357328,-0.23136736,0.0,-0.043252923,0.0034280252,0.0,-0.07970551,-0.47411144,0.0,-0.14424959,0.02329792,0.0,0.09257221,-0.0016296383,0.0,0.04923977,0.48107383,-0.039961595,0.09125703,0.0063521997,0.006262859,-0.055302083,-0.015260155,-0.34551597,-0.004228702
-0.0027479818,-0.12322223,-0.29078364,0.04791649,-0.20880702,-0.06850112,-0.06529847,-0.027450757,-0.27970707,-0.13121708,-0.014564966,0.00087046815,0.10562141,-0.0002826967,0.17841521,0.03427542,-0.21239743,0.035965707,-0.64018744,-7.19378e-05,-0.003108308,-0.16981322,0.0,-0.0060096527,-0.08043125,0.0,-0.024881888,-0.4948469,0.0,0.014470687,-0.030886717,0.0,-0.05918817,-0.010482831,0.0,-0.06259992,0.38470724,-0.00825402,0.06323913,0.035501458,0.001918131,-0.028269999,-0.0676161,-0.25770774,0.037438158
-0.023952872,-0.7701264,-0.3051859,-0.37815097,-0.06922786,-0.0017856322,-0.12651587,-0.033991583,-0.14087692,-0.0864028,-0.02197194,-0.0023891688,-0.08235447,0.0003978862,-0.10152637,0.0032885112,-0.11066603,0.022889003,-0.35273343,-0.0002040675,-0.0060288664,-0.11404178,0.0,-0.03999002,-0.054968245,0.0,-0.03330368,-0.26582983,0.0,-0.012905235,-0.020387594,0.0,-0.07336292,-0.019084977,0.0,-0.0747136,-1.2121067,-0.07631399,-0.78846973,-0.227783,-0.06915236,-0.058150858,-0.35527048,-0.17268598,-0.012780272
0.0017827757,-0.13726163,-0.018028049,-0.010938593,0.07087891,0.014160795,0.002503506,0.002923318,0.036982358,0.018359095,-0.041594163,-0.016933398,-0.20603278,-0.005030768,-0.058469173,-0.17882794,-0.19614732,0.00023370597,0.11646864,0.00013679425,-0.017892806,0.12614115,0.0,-0.031271026,0.09948293,0.0,-0.05638712,0.12069422,0.0,0.0045606988,-0.00390519,0.0,-0.09366707,0.046065275,0.0,-0.031671282,0.55965936,-0.023128338,0.05973611,0.044107083,0.022755448,-0.01849626,0.007950121,0.23767252,0.0032459137
